,collection_ids,collection_name,collection_poster_path,collection_backdrop_path,collection_movie_ids,collection_movie_titles,collection_movie_backdrop_paths,collection_movie_poster_paths,collection_movie_release_dates,collection_movie_popularities
0,106498,Dungeons & Dragons Collection,/tb70wYUa474fdfZSPj8CH6Ua6F9.jpg,/kyZAh3lWmoJDguS54XxKrRUpaZF.jpg,11849|9288|135858,Dungeons & Dragons|Dungeons & Dragons: Wrath of the Dragon God|Dungeons & Dragons: The Book of Vile Darkness,/dlpc4YSNhc9SgFpbyhOHDYQof46.jpg|/2ziyZnf5Qwl4KddHwtuyql8oy84.jpg|/nG4wfCXBULSOlk9wgyr14oerPBV.jpg,/hHoMqCagqwnahAvwkzCOp6MPMWC.jpg|/m05AJbnlQdJjRcRyedXN7EPxtz0.jpg|/thLd3eMzbRTjcCbal9j7x2WumPa.jpg,2000-12-08|2005-01-01|2012-08-08,8.907|4.458|3.115
1,534531,Prancer Collection,,,24951|51210,Prancer|Prancer Returns,/44NCtACvtuUwuysdxuFWwvklWRN.jpg|/dbT8WfWTOE6Z4LXtFiLfcRGmBWN.jpg,/6O6dER0X2lGIXREpdVkHGyuRWzI.jpg|/pxTBOcboAMuL1GplmRLOwDB5dUU.jpg,1989-11-17|2001-11-20,7.965|1.571
2,124934,Alligator Collection,/5XOOxT9Lt8tIRahE5judKxjUjNE.jpg,/mzp3TmdWME3umvFnfYkOJn80aRN.jpg,33518|40800,Alligator|Alligator 2 - The Mutation,/qMVM1NZvj70UPLGKYh22uSjY2OH.jpg|/oyAYzoO5YwEhAm3rdkaWIlnuUyV.jpg,/xGdzbwVDnTu3WwOtrFjI8qDfoLU.jpg|/nnrkSj3mc5v4UkZCN7J6yo6mkwn.jpg,1980-07-02|1991-12-18,6.162|3.452
3,124935,The Lawnmower Man Collection,/slBKrKBbL1g3KURphhAYIyOOH0G.jpg,/id05z92s8Pwc2wbR9YAKngGqOyP.jpg,10163|11525,The Lawnmower Man|Lawnmower Man 2: Beyond Cyberspace,/fXCoMFPV7PSwNBZb02SPRFRp7T4.jpg|/lm18OwMdkW34dbuU2x6CFEub3ar.jpg,/3tWLM3zMyh3KZOactn8mfjHml05.jpg|/nsKDpcdC62krEPlCKKjLSHuMwwu.jpg,1992-03-05|1996-01-12,8.595|5.157
4,86024,Legally Blonde Collection,/kupFjC97HLSqG5CX47NsTJNEyAs.jpg,/aabPyPAA6E8hJ7tUipwunr3Itzb.jpg,8835|10327|16985|528320,"Legally Blonde|Legally Blonde 2: Red, White & Blonde|Legally Blondes|Legally Blonde 3",,/1gAnkZNAd3HqgWL7aqSOQFwt7D1.jpg|/wECfNeNPTO5stVguJZ4lWYzd3J6.jpg|/wZnEw0avASZwBWcJo5F1pdJnmO2.jpg|/MuPHnpDazGDPJAm0s9fORE7xBY.jpg,2001-07-13|2003-07-02|2009-04-28|2020-02-14,12.828|12.884|7.441|0.6
5,10,Star Wars Collection,/iTQHKziZy9pAAY4hHEDCGPaOvFC.jpg,/d8duYyyC9J5T825Hg7grmaabfxQ.jpg,11|1891|1892|1893|1894|1895|140607|181812|181808|330459|348350,Star Wars|The Empire Strikes Back|Return of the Jedi|Star Wars: Episode I - The Phantom Menace|Star Wars: Episode II - Attack of the Clones|Star Wars: Episode III - Revenge of the Sith|Star Wars: The Force Awakens|Star Wars: Episode IX|Star Wars: The Last Jedi|Rogue One: A Star Wars Story|Solo: A Star Wars Story,/4iJfYYoQzZcONB9hNzg0J0wWyPH.jpg|/amYkOxCwHiVTFKendcIW0rSrRlU.jpg|/koE7aMeR2ATivI18mCbscLsI0Nm.jpg|/v6lRzOActebITc9rizhNAdwQR1O.jpg|/1Slt26IGf2XHqv8xjEJ7LMZqCYb.jpg|/wUYTfFbfPiZC6Lcyt1nonr69ZmK.jpg|/njv65RTipNSTozFLuF85jL0bcQe.jpg|/pMBxLKnRlLfRFaiBMFEDw2olp1B.jpg|/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg|/tZjVVIYXACV4IIIhXeIM59ytqwS.jpg|/5DUqFLgkLsJxyqPCAcgTivZy2SX.jpg,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg|/9SKDSFbaM6LuGqG1aPWN3wYGEyD.jpg|/lrJWyjOVjPhghl4KyAMtOepAxs.jpg|/n8V09dDc02KsSN6Q4hC2BX6hN8X.jpg|/2vcNFtrZXNwIcBgH5e2xXCmVR8t.jpg|/tgr5Pdy7ehZYBqBkN2K7Q02xgOb.jpg|/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg|/yVYTFvIiKyr6vsrPw3o5C6t2eoL.jpg|/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg|/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg|/3IGbjc5ZC5yxim5W0sFING2kdcz.jpg,1977-05-25|1980-05-20|1983-05-23|1999-05-19|2002-05-15|2005-05-17|2015-12-15|2019-12-18|2017-12-13|2016-12-14|2018-05-15,35.724|17.877|14.111|12.909|13.148|12.265|33.944|8.035|37.167|14.896|42.942
6,86027,Aladdin Collection,/9jAbtLbAbebtuF5q1gZIPUCuegd.jpg,/naeLgo2bt4WKfHF4BTrG6mkmjiY.jpg,812|15969|11238,Aladdin|The Return of Jafar|Aladdin and the King of Thieves,/oZN5w508NSlrmcMql1wohhsQGIg.jpg|/w1Okw5778jLM5cv3gLCCf6zRDSo.jpg|/gDGV6FtkoFIM0hSsDxeUq6wD391.jpg,/7f53XAE4nPiGe9XprpGAeWHuKPw.jpg|/sC4wDVBMPMxmn5JJqPalMOhQ35U.jpg|/f6cwFA76j6aaRu1KOQ8bBYfSlLx.jpg,1992-11-25|1994-12-15|1996-05-20,21.81|14.567|12.836
7,86028,The Nutty Professor Collection,/a6zC38ID7EyAflo8tsPDP4IE0Mt.jpg,/mW1NQFOSCwwgk03SpcpwiQEL2Lo.jpg,9327|12107,The Nutty Professor|Nutty Professor II: The Klumps,/84GOgNlshhXbrEzriQkDLdIWFvM.jpg|/uVqG76HuDLQMl2SXsEiOSHZpeZZ.jpg,/rwAixULX9OJUu9kdDUBFZpLmLk1.jpg|/r1WXXXtpNBsgCnCTdjT6ERxOcEV.jpg,1996-06-26|2000-07-27,10.52|8.824
8,86029,Charlie's Angels Collection,/jBKUntSuSUfxTXI8XWABpdWmWEt.jpg,/syWm5FMScW6JHaCM2C9aduCzUtp.jpg,4327|9471,Charlie's Angels|Charlie's Angels: Full Throttle,/AfXk5IqMZuznjjvEkrQuzQ9A5U6.jpg|/4KJKnwBxflXdfp1qmLEFI9CDYHy.jpg,/eBzf9d09Vgq2HSVC4fIZm1QNQd.jpg|/n4cdJ0Wqxb7C0HmZbcaC4eYnkIf.jpg,2000-11-02|2003-06-27,11.572|10.926
9,135179,Sin City Collection,/7QwUclJOsZrd8vGO4rX8PHEhJSX.jpg,/qs200GlvLNIQKUns6AIeLcJWtPT.jpg,187|189,Sin City|Sin City: A Dame to Kill For,/my81Hjt7NpZhaMX9bHi4wVhFy0v.jpg|/khzRw7ZDE3NIrYpe0RYyB864FPT.jpg,/vKJVGOKPyWqp9d2EX5NH1liqRqR.jpg|/k80qKrJ0qQ6ocVo5N932stNSg6j.jpg,2005-04-01|2014-08-20,16.873|22.97
10,280588,Horrible Bosses Collection,/zU3dVVBa3JW1nQVUsaFM0BeTnK.jpg,/kGvdIEuzy0rHnbIJ0qmnIjRGSKW.jpg,51540|227159,Horrible Bosses|Horrible Bosses 2,/1iVZJmeHW8MVMq7xlaHgLSv6qrc.jpg|/7OluTl9LoaMDZ2MVdrFVuU2os09.jpg,/17rVRW7ond0PR2KJHY0xY00isTB.jpg|/3ZFxaLTzJBGRCShCiImC8IPccEA.jpg,2011-07-08|2014-11-26,16.169|14.105
11,421904,Batman (DC Universe Animated) Collection,/4fDffWkGuIt62GQVAUTUgRoZxT2.jpg,/feOIJaQTUDaPRgt3g9U5xQhJPoq.jpg,21683|14919|15805|408648|40662,Batman: Mystery of the Batwoman|Batman: Mask of the Phantasm|Batman & Mr. Freeze: SubZero|Batman and Harley Quinn|Batman: Under the Red Hood,/l4FaAhS0fThHyBifKkPEJefhq0K.jpg|/jTwt4fcYADv758PVP6DH8ryy4R.jpg|/yGipWTfWvrMR0sotpypKQeFUzIu.jpg|/2JVnUtyUKbQm165cXUF9r5iVPDo.jpg|/hkguTOGQ4MkjHyd5g4rR6i4MDck.jpg,/3l2ArPFKXKQIwPOFm0keIkyjwqH.jpg|/l4jaQjkgznu2Rz05X18f24UjPNW.jpg|/6Leq7SqNEuCNVr3fiykDVWf6Z8g.jpg|/uVdxoD9kn28qC8VQiVA6Uif1QHl.jpg|/78kjgspmLLOm2Glgpzqo9cS4GpI.jpg,2003-10-21|1993-12-25|1998-03-17|2017-08-14|2010-07-27,8.369|8.41|7.653|11.203|9.909
12,192532,Dead or Alive Collection,/pkZCiGxwgFPlVwu5TOdo6KQLhVT.jpg,,11315|13899|36222,DEAD OR ALIVE 犯罪者|DEAD OR ALIVE 2　逃亡者|Dead or Alive: Final,/2PO8QCiFmAxLaQzOs7S32mKpadu.jpg|/A3tjBaNRXJkuvj3nkiS3EDm9dWO.jpg|/hgDMg6mwQHwwaLmMf4YS2onMCOR.jpg,/vi9QoC9P0h2194dQD6xt8O73vwL.jpg|/qpb58R0uU5tywNfdd577jIfSUbK.jpg|/8ed4g88lJ5mpx98g4hT3AB7oGhF.jpg,1999-11-27|2000-12-02|2002-01-12,3.377|2.751|1.878
13,518165,Deep Blue Sea Collection,/n0UkMnBLww2n3Zmb4Q6CUPYsu6x.jpg,/3Az3DXFG5MvtcSvRNvRyuqRC4Jr.jpg,8914|492336,Deep Blue Sea|Deep Blue Sea 2,/adGAeyRgc7jQyXaBFyQGWGCrdJo.jpg|/5UKLqsKJIhouJPVr8AQSTuh7S4n.jpg,/r386y8YpePXoS7P4jHWZRTF36Zb.jpg|/xqjAHXMJLORx9vVsCTJ6ZPJcr3D.jpg,1999-07-28|2018-04-17,11.585|14.826
14,124950,American Graffiti Collection,/nXbscwjttQTQ5OWskK7TSi5CSpH.jpg,/fkQH8aHqLpdDYXyCXdqRgYOhsoN.jpg,838|33258,American Graffiti|More American Graffiti,/u2fwkirPOiYzmYgtGbInPQtpQo0.jpg|/fK8uSaGhfXrjLER8obkd4810Lqk.jpg,/xq8MFYQ6MLZ65mFpweqV6mCs39k.jpg|/12CnvoAZ5erer9xXfguaXZo0BSS.jpg,1973-08-01|1979-08-03,9.855|4.093
15,124951,Mannequin Collection,/tHUiRPu9PmsgDEa4j22fjWHjFkW.jpg,/qNRyB22N3Y6aGii099by5I51KDJ.jpg,10019|34376,Mannequin|Mannequin Two: On the Move,/qxxZBo0HwXAIrRm45UnA3eAI2Uw.jpg|/4OiSN1FjXA2FhpXmegM6lV24Anu.jpg,/y65yXUmG8F8VUsgGvds9POBlqV1.jpg|/z6teD70HPptwH1HwVsIRPvVHF4G.jpg,1987-02-13|1991-05-17,8.789|5.925
16,124949,Almighty Collection,/v8fLc8oQxLJw4pYrE0arjLQiwhl.jpg,/qKuR7BpBLTcISNWgxKQmXnYYJFX.jpg,310|2698,Bruce Almighty|Evan Almighty,/bhEudqWbWsiEBdnl0kCIwFp5Hay.jpg|/iCGCyi0pFOXN4i8zwOsWBGppsim.jpg,/y5TEe8Qbgn91dwqVm9FqE2PEL4Q.jpg|/mtIjd19s4eOSkUm9P9iDVY35TsQ.jpg,2003-05-23|2007-06-09,25.725|11.578
17,432151,Daffy Duck Movie Collection,,,23521|80607,Daffy Duck's Quackbusters|Daffy Duck's Movie: Fantastic Island,/9nn7QhM2dZXDoogYzFqJcs9S1fG.jpg|/oShmrY6t3zgv6fvOxAVnJOF7SI7.jpg,/kJOHa1wuKDX18tKhK6BL4dMkGHr.jpg|/yPN53XgYcP8aZeqacO7b31PI8u2.jpg,1988-09-24|1983-08-05,2.137|4.689
