,moveId,original_title,collectionId,release_date,backdrop_path,poster_path
0,1,Toy Story,10194.0,1995-10-30,/dji4Fm0gCDVb9DQQMRvAI8YNnTz.jpg,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg
1,2,Jumanji,495527.0,1995-12-15,/7k4zEgUZbzMHawDaMc9yIkmY1qR.jpg,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
2,3,Grumpier Old Men,119050.0,1995-12-22,/1ENbkuIYK2taNGGKNMs2hw6SaJb.jpg,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg
3,4,Waiting to Exhale,,1995-12-22,/u0hQzp4xfag3ZhsKKBBdgyIVvCl.jpg,/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg
4,5,Father of the Bride Part II,96871.0,1995-02-10,/cZs50rEk4T13qWedon0uCnbYQzW.jpg,/e64sOI48hQXyru7naBFyssKFxVd.jpg
5,6,Heat,,1995-12-15,/jMzVSwQp1lLVq9fnQQ4yOjr1YZ2.jpg,/zMyfPUelumio3tiDKPffaUpsQTD.jpg
6,7,Sabrina,,1995-12-15,/qKKLKFkSlIjhUCHoF7N8VuvIZU6.jpg,/zENmHYYCsR6xgdyh2uHXPX4tyXE.jpg
7,8,Tom and Huck,,1995-12-22,/43r8WYBhOrj0SLSTuShynuWj6Z.jpg,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg
8,9,Sudden Death,,1995-10-27,/y6A4PUAD61r15CgtuuQhWxLh6Vx.jpg,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg
9,10,GoldenEye,645.0,1995-11-16,/dA9I0Vd9OZzRQ2GyGcsFXdKGMz3.jpg,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
10,11,The American President,,1995-11-17,/wmViVyE9P0HTVU54sP3EriCmtIc.jpg,/lymPNGLZgPHuqM29rKMGV46ANij.jpg
11,12,Dracula: Dead and Loving It,,1995-12-22,/y7N276seR43H31xvDbWMWxEsDr.jpg,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg
12,13,Balto,117693.0,1995-12-22,/fkxHaPJaB35wnoUC7glF16W3lWH.jpg,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
13,14,Nixon,,1995-12-22,/j1pLMvLiXRyeeHyTZO79a4t3Qao.jpg,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg
